SEA,SAT,Sun,12:53:00,18:10:00,1774
SNA,STL,Fri,10:01:00,14:41:00,1566
SAV,IAH,Fri,21:12:00,23:47:00,849
SAN,SFO,Tue,12:42:00,14:14:00,446
LGA,FAI,Thu,13:33:00,22:18:00,3259
MCO,LGA,Fri,18:42:00,21:44:00,951
SAN,SMF,Wed,19:58:00,21:41:00,480
SAV,IAH,Fri,21:10:00,23:54:00,849
JAX,ANC,Sat,15:45:00,01:28:00,3681
LGA,RNO,Sat,07:55:00,14:29:00,2398
MDW,PWM,Sun,11:26:00,14:05:00,893
SAT,STL,Mon,09:27:00,12:23:00,786
PWM,MIA,Tue,09:04:00,13:06:00,1355
PHL,PIT,Thu,10:33:00,11:51:00,267
CVG,ONT,Fri,08:47:00,13:58:00,1850
ONT,RIC,Sun,12:49:00,18:52:00,2253
ONT,PHL,Tue,09:33:00,15:55:00,2351
SAN,SMF,Mon,19:49:00,21:28:00,480
ATL,SNA,Sun,07:45:00,13:00:00,1915
FAI,IAH,Fri,17:07:00,01:48:00,3277
TUL,PWM,Thu,16:46:00,21:14:00,1443
JFK,SYR,Sun,12:58:00,14:00:00,208
RNO,SLC,Thu,13:04:00,14:43:00,420
SEA,SAT,Sun,13:00:00,17:56:00,1774
SAT,EWR,Tue,19:54:00,00:16:00,1567
MEM,PWM,Sat,21:31:00,01:00:00,1203
AUS,BUF,Mon,09:37:00,13:27:00,1365
MSP,IAD,Mon,15:41:00,18:24:00,906
TUL,BOS,Mon,19:25:00,23:31:00,1391
RDU,FAI,Tue,07:34:00,16:29:00,3399
JAX,ANC,Tue,15:40:00,01:28:00,3681
PDX,DEN,Fri,11:31:00,14:29:00,989
SFO,EWR,Sun,18:43:00,01:38:00,2559
MSP,FLL,Tue,18:31:00,22:42:00,1489
TPA,BWI,Wed,18:36:00,21:13:00,844
PVD,PDX,Thu,12:22:00,19:13:00,2529
PVD,ORD,Wed,21:39:00,00:12:00,847
TPA,CLT,Thu,09:16:00,10:58:00,508
RIC,ONT,Tue,16:51:00,22:56:00,2253
TPA,CLT,Sat,09:16:00,11:00:00,508
IND,SAT,Sun,07:14:00,10:11:00,985
SLC,ADW,Sun,16:45:00,21:52:00,1857
DEN,MEM,Fri,14:59:00,17:43:00,871
MEM,DTW,Sat,19:25:00,21:26:00,610
PWM,MIA,Sat,09:03:00,13:01:00,1355
